Ang Mo Kio Town Centre,940,
Admiralty,"1,690",
Airport Road,0,
Alexandra Hill,"4,190",
Alexandra North,100,
Aljunied,"9,310",
Anak Bukit,"4,500",
Anchorvale,"4,000",
Anson,0,
Balestier,"7,360",
Bangkit,"4,390",
Bayfront Subzone,0,
Bayshore,"1,090",
Bedok North,"19,480",
Bedok Reservoir,"4,290",
Bedok South,"12,130",
Bencoolen,380,
Bendemeer,"7,920",
Benoi Sector,0,
Bidadari,0,
Bishan East,"6,140",
Boat Quay,40,
Boon Keng,"2,630",
Boon Lay Place,"4,760",
Boon Teck,"4,160",
Boulevard,110,
Braddell,"2,650",
Bras Basah,0,
Brickworks,0,
Bugis,810,
Bukit Batok Central,"4,700","11,990"
Bukit Batok East,"2,720",
Bukit Batok South,"1,830",
Bukit Batok West,"2,740",
Bukit Ho Swee,"4,540",
Bukit Merah,320,
Cairnhill,650,
Cecil,0,
Central Subzone,40,
Central Water Catchment,0,
Changi Airport,0,
Changi Bay,0,
Changi Point,220,
Changi West,110,
Chatsworth,940,
Cheng San,"6,950",
Chin Bee,0,
China Square,560,
Chinatown,"2,590",
Choa Chu Kang Central,"2,710",
Choa Chu Kang North,"3,770",
Chong Boon,"7,330",
City Hall,0,
City Terminals,0,
Clarke Quay,10,
Clementi Central,"3,160","18,190"
Clementi North,"7,810",
Clementi West,"3,590",
Clementi Woods,"3,630",
Clifford Pier,0,
Commonwealth,"2,270",
Compassvale,"1,810",
Coney Island,0,
Coronation Road,"1,290",
Crawford,"3,320",
Dairy Farm,810,
Defu Industrial Park,0,
Depot Road,"1,020",
Dhoby Ghaut,20,
Dover,"2,610",
Dunearn,900,
East Coast,0,
Everton Park,"2,370",
Faber,780,
Fajar,"3,580",
Farrer Court,"1,010",
Farrer Park,760,
Fernvale,"3,740",
Flora Drive,"1,980",
Fort Canning,20,
Frankel,"6,960",
Gali Batu,100,
Geylang Bahru,"3,220",
Geylang East,"7,410",
Ghim Moh,"3,310",
Gombak,"1,790",
Goodwood Park,130,
Greenwood Park,0,
Guilin,"2,040",
Gul Basin,0,
Gul Circle,0,
Henderson Hill,"3,540",
Hillcrest,"1,690",
Hillview,"2,820",
Holland Drive,"4,250",
Holland Road,"1,740",
Hong Kah,"10,860",
Hong Kah North,"4,590","18,600"
Hougang Central,900,
Hougang East,"3,600",
Hougang West,"9,510",
Institution Hill,480,
International Business Park,0,
Istana Negara,0,
Jelebu,"5,350",
Joo Koon,0,
Joo Seng,"1,650",
Jurong Gateway,0,
Jurong Island And Bukom,0,
Jurong Port,0,
Jurong River,0,
Jurong West Central,"7,760",
Kaki Bukit,"7,910",
Kallang Bahru,0,
Kallang Way,0,
Kampong Bugis,220,
Kampong Glam,80,
Kampong Java,"2,750",
Kampong Tiong Bahru,"3,060",
Kampong Ubi,"2,240",
Kangkar,"5,080",
Katong,"1,950",
Keat Hong,"1,970",
Kebun Bahru,"6,090",
Kembangan,"9,000",
Kent Ridge,210,
Khatib,"1,960",
Kian Teck,0,
Kim Keat,"2,040",
Kovan,"4,940",
Kranji,0,
Lakeside,270,
Lavender,"2,440",
Leedon Park,"1,290",
Leonie Hill,370,
Lim Chu Kang,0,
Little India,"1,080",
Liu Fang,0,
Lorong 8 Toa Payoh,"2,240",
Lorong Ah Soo,"7,710",
Lorong Chuan,"1,570",
Lorong Halus,0,
Lorong Halus North,0,
Lower Seletar,180,
Loyang East,420,
Loyang West,170,
Mackenzie,0,
Macpherson,"6,820",
Malcolm,570,
Mandai East,0,
Mandai Estate,290,
Mandai West,0,
Margaret Drive,"2,160",
Marina Centre,0,
Marina East,0,
Marina East (Mp),0,
Marina South,0,
Marine Parade,"7,120",
Maritime Square,310,
Marymount,"5,190",
Matilda,"2,740",
Maxwell,0,
Mei Chin,"3,960",
Midview,"3,890",
Monk's Hill,200,
Moulmein,"1,240",
Mount Emily,140,
Mount Pleasant,150,
Mountbatten,"1,990",
Nassim,"1,540",
National University Of S'pore,10,
Nature Reserve,570,
Nee Soon,190,
Newton Circus,20,
North Coast,"2,840",
North-Eastern Islands,0,
Northland,"4,760",
Northshore,60,
One North,50,
One Tree Hill,400,
Orange Grove,340,
Oxley,350,
Pandan,0,
Pang Sua,0,
Pasir Panjang 1,700,"15,670"
Pasir Panjang 2,730,
Pasir Ris Central,"3,140",
Pasir Ris Drive,"8,200",
Pasir Ris Park,240,
Pasir Ris Wafer Fab Park,0,
Pasir Ris West,"4,090",
Paterson,10,
Paya Lebar East,0,
Paya Lebar North,0,
Paya Lebar West,0,
Pearl's Hill,"2,750",
Pei Chun,"2,870",
Peng Siang,"4,340",
Penjuru Crescent,0,
People's Park,110,
Phillip,0,
Pioneer Sector,0,
Plab,0,
Port,20,
Potong Pasir,"3,160",
Pulau Punggol Barat,0,
Pulau Punggol Timor,0,
Pulau Seletar,0,
Punggol Canal,0,5520
Punggol Field,"5,010",
Punggol Town Centre,510,
Queensway,60,
Raffles Place,0,
Redhill,"2,520",
Reservoir View,0,
Ridout,330,
Rivervale,"7,940",
Robertson Quay,260,
Rochor Canal,0,
Safti,0,
Samulun,0,
Saujana,"2,970",
Selegie,70,
Seletar,30,
Seletar Aerospace Park,0,
Seletar Hills,"2,970",
Semakau,0,
Sembawang Central,"3,340","8,800"
Sembawang East,0,
Sembawang Hills,"1,550",
Sembawang North,"2,830",
Sembawang Springs,830,
Sembawang Straits,250,
Sengkang Town Centre,"6,590",
Sengkang West,0,
Senja,"2,430",
Sennett,"1,260",
Senoko North,0,
Senoko South,0,
Senoko West,0,
Sentosa,150,
Serangoon Central,"5,930","18,250"
Serangoon Garden,"9,650",
Serangoon North,"2,670",
Serangoon North Ind Estate,0,
Shangri-La,"4,460",
Shipyard,0,
Siglap,"1,910",
Simei,"6,870",
Simpang North,0,
Simpang South,0,
Singapore General Hospital,0,
Singapore Polytechnic,10,
Somerset,40,
Southern Group,0,
Springleaf,860,
Straits View,0,
Sudong,0,
Sungei Road,690,
Sunset Way,"1,540",
Swiss Club,"1,100",
Tagore,"1,670",
Tai Seng,"3,110",
Taman Jurong,"5,380",
Tampines East,"23,790","36,570"
Tampines North,0,
Tampines West,"12,780",
Tanglin,70,
Tanglin Halt,"3,530",
Tanjong Irau,0,
Tanjong Pagar,120,
Tanjong Rhu,"1,900",
Teban Gardens,"4,220",
Teck Whye,"4,710",
Telok Blangah Drive,"4,180",
Telok Blangah Rise,"4,000",
Telok Blangah Way,"2,900",
Tengah,0,
Tengeh,0,
The Wharves,0,
Tiong Bahru,"3,040",
Tiong Bahru Station,"3,500",
Toa Payoh Central,"6,240","10,060"
Toa Payoh West,"3,820",
Toh Guan,"2,560",
Toh Tuck,0,
Total,"18,550",
Total,0,
Total,"23,190",
Total,"39,570",
Total,"20,110",
Total,"14,950",
Total,0,
Total,330,
Total,0,
Total,"22,160",
Total,"21,460",
Total,980,
Total,"25,800",
Total,"41,920",
Total,"17,030",
Total,"38,980",
Total,"24,410",
Total,0,
Total,290,
Total,0,
Total,0,
Total,"11,050",
Total,60,
Total,"1,360",
Total,0,
Total,"6,000",
Total,0,
Total,"10,750",
Total,"29,560",
Townsville,"6,040",
Trafalgar,"7,100",
Tuas Bay,0,
Tuas North,0,
Tuas Promenade,0,
Tuas View,0,
Tuas View Extension,0,
Tukang,0,
Turf Club,180,
Tyersall,710,
Ulu Pandan,"2,350",
Upper Paya Lebar,"3,480",
Upper Thomson,"7,230",
Victoria,660,
Waterway East,"2,490",
Wenya,850,
West Coast,920,
Western Water Catchment,110,
Woodgrove,"4,060",
Woodlands East,"9,190","18,830"
Woodlands Regional Centre,0,
Woodlands South,"3,910",
Woodlands West,"5,730",
Woodleigh,340,
Xilin,250,
Yew Tee,"4,710",
Yio Chu Kang,0,
Yio Chu Kang East,830,
Yio Chu Kang North,0,
Yio Chu Kang West,"5,590",
Yishun Central,270,23730
Yishun East,"6,290",
Yishun South,"6,820",
Yishun West,"10,350",
Yuhua East,"5,870",
Yuhua West,"4,140",
Yunnan,"9,370",
